Name,Price,Storage,Network,URL
Samsung Galaxy A52 5G,$ 489.99 / € 379.00 / £ 385.96,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",GSM / HSPA / LTE / 5G,samsung_galaxy_a52_5g-pictures-10631.php
Samsung Galaxy A52,"€ 329.00 / $ 325.00 / £ 384.04 / ₹ 26,499","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",GSM / HSPA / LTE,samsung_galaxy_a52-pictures-10641.php
Samsung Galaxy A32,$ 243.99 / € 248.91 / £ 229.99,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",GSM / HSPA / LTE,samsung_galaxy_a32-pictures-10753.php
Samsung Galaxy S21+ 5G,"€ 775.00 / $ 814.99 / £ 693.06 / ₹ 68,990","128GB 8GB RAM, 256GB 8GB RAM",GSM / CDMA / HSPA / EVDO / LTE / 5G,samsung_galaxy_s21+_5g-pictures-10625.php
Samsung Galaxy M02s,"₹ 8,999","32GB 3GB RAM, 64GB 4GB RAM",GSM / HSPA / LTE,samsung_galaxy_m02s-pictures-10663.php
Samsung Galaxy A12,"€ 149.22 / $ 129.99 / £ 137.90 / ₹ 12,780","32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",GSM / HSPA / LTE,samsung_galaxy_a12-pictures-10604.php
Samsung Galaxy M02,"₹ 6,999","32GB 2GB RAM, 32GB 3GB RAM",GSM / HSPA / LTE,samsung_galaxy_m02-pictures-10709.php
Samsung Galaxy S20 FE,"€ 485.00 / $ 499.99 / £ 478.99 / ₹ 35,349","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",GSM / CDMA / HSPA / EVDO / LTE,samsung_galaxy_s20_fe-pictures-10428.php
Samsung Galaxy Note20 5G,$ 679.99 / £ 648.00 / € 692.99,"128GB 8GB RAM, 256GB 8GB RAM",GSM / CDMA / HSPA / EVDO / LTE / 5G,samsung_galaxy_note20_5g-pictures-10325.php
Samsung Galaxy Watch3,€ 259.90 / $ 279.00,8GB 1GB RAM,GSM / HSPA / LTE,samsung_galaxy_watch3-pictures-10315.php
Samsung Galaxy M01,$ 135.00,32GB 3GB RAM,GSM / HSPA / LTE,samsung_galaxy_m01-pictures-10216.php
Samsung Galaxy A21,€ 159.00 / $ 129.99,32GB 3GB RAM,GSM / CDMA / HSPA / EVDO / LTE,samsung_galaxy_a21-pictures-10172.php
Samsung Galaxy A31,"€ 195.90 / $ 197.99 / £ 191.99 / ₹ 17,999","64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",GSM / HSPA / LTE,samsung_galaxy_a31-pictures-10149.php
Samsung Galaxy A41,€ 198.00 / £ 169.99,64GB 4GB RAM,GSM / HSPA / LTE,samsung_galaxy_a41-pictures-10138.php
Samsung Galaxy S20 5G,$ 698.00 / € 640.00 / £ 486.00,"128GB 8GB RAM, 128GB 12GB RAM",GSM / CDMA / HSPA / EVDO / LTE / 5G,samsung_galaxy_s20_5g-pictures-10044.php
Samsung Galaxy Z Flip,"$ 795.00 / € 840.90 / £ 694.00 / ₹ 69,000",256GB 8GB RAM,GSM / CDMA / HSPA / EVDO / LTE,samsung_galaxy_z_flip-pictures-10054.php
Samsung Galaxy A51,"€ 222.00 / $ 268.95 / £ 223.95 / ₹ 22,499","64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",GSM / HSPA / LTE,samsung_galaxy_a51-pictures-9963.php
Samsung Galaxy A20s,"$ 144.99 / € 154.74 / £ 149.37 / ₹ 12,440","32GB 2GB RAM, 32GB 3GB RAM, 64GB 4GB RAM",GSM / HSPA / LTE,samsung_galaxy_a20s-pictures-9852.php
Samsung Galaxy A90 5G,£ 334.99 / € 573.71,"128GB 6GB RAM, 128GB 8GB RAM",GSM / HSPA / LTE / 5G,samsung_galaxy_a90_5g-pictures-9795.php
Huawei P smart 2021,€ 136.47 / $ 166.00 / £ 152.00,128GB 4GB RAM,GSM / HSPA / LTE,huawei_p_smart_2021-pictures-10475.php
Huawei Y6p,$ 279.00 / £ 114.99 / € 130.00,"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",GSM / HSPA / LTE,huawei_y6p-pictures-10222.php
Sony Xperia Pro,"$ 2,498.00",512GB 12GB RAM,GSM / HSPA / LTE / 5G,sony_xperia_pro-pictures-10707.php
Sony Xperia 10 II,€ 309.00 / $ 334.01 / £ 264.99,"64GB 4GB RAM, 128GB 4GB RAM",GSM / HSPA / LTE,sony_xperia_10_ii-pictures-10095.php
Sony Xperia L4,€ 243.10 / £ 169.00,64GB 3GB RAM,GSM / HSPA / LTE,sony_xperia_l4-pictures-10091.php
Sony Xperia 5,$ 580.68 / € 569.00 / £ 149.99,128GB 6GB RAM,GSM / HSPA / LTE,sony_xperia_5-pictures-9840.php
